doi,type,identifier,clinicaltrials.gov
PMC8489938,ClinicalTrials.gov,NCT03671265,NA
PMC8489938,ClinicalTrials.gov,NCT04426955,NA
PMC8494515,ClinicalTrials.gov,NCT02750085,NA
PMC8496413,ClinicalTrials.gov,NCT04420962,NA
PMC8516509,ClinicalTrials.gov,NCT02706873,NA
PMC8516509,ClinicalTrials.gov,NCT02706951,NA
PMC8524287,ClinicalTrials.gov,NCT02788773,NA
PMC8524287,ClinicalTrials.gov,NCT02601014,NA
PMC8524287,ClinicalTrials.gov,NCT02985957,NA
PMC8532585,ClinicalTrials.gov,NCT02921139,NA
PMC8552567,ClinicalTrials.gov,NCT01830959,NA
PMC8560147,ClinicalTrials.gov,NCT01859988,NA
PMC8560147,ClinicalTrials.gov,NCT02277743,NA
PMC8560147,ClinicalTrials.gov,NCT02277769,NA
PMC8560147,ClinicalTrials.gov,NCT02260986,NA
PMC8560147,ClinicalTrials.gov,NCT02755649,NA
PMC8561126,ClinicalTrials.gov,NCT04541082,NA
PMC8561126,ClinicalTrials.gov,NCT03173950,NA
PMC8561126,ClinicalTrials.gov,NCT00826241,NA
PMC8561126,ClinicalTrials.gov,NCT03251989,NA
PMC8561126,ClinicalTrials.gov,NCT02851706,NA
PMC8605955,ClinicalTrials.gov,NCT04002700,NA
PMC8608774,ClinicalTrials.gov,NCT01417598,NA
PMC8612137,ClinicalTrials.gov,NCT02593201,NA
PMC8648634,ClinicalTrials.gov,NCT02303002,NA
PMC8648634,ClinicalTrials.gov,NCT03014622,NA
PMC8648634,ClinicalTrials.gov,NCT03014635,NA
PMC8648634,ClinicalTrials.gov,NCT03004248,NA
PMC8662959,ClinicalTrials.gov,NCT04510207,NA
PMC8710120,ClinicalTrials.gov,NCT01643187,NA
PMC8712907,ClinicalTrials.gov,NCT03128528,NA
PMC8714017,ClinicalTrials.gov,NCT03286374,NA
PMC8719348,ClinicalTrials.gov,NCT03494699,NA
PMC8753994,ClinicalTrials.gov,NCT03328299,NA
PMC8754096,ClinicalTrials.gov,NCT02578940,NA
PMC8760989,ClinicalTrials.gov,NCT03093220,NA
PMC8762141,ClinicalTrials.gov,NCT02506933,NA
PMC8762141,ClinicalTrials.gov,NCT02146924,NA
PMC8762141,ClinicalTrials.gov,NCT02153580,NA
PMC8762141,ClinicalTrials.gov,NCT01953900,NA
PMC8772438,ClinicalTrials.gov,NCT04198701,NA
PMC8814304,ClinicalTrials.gov,NCT02832193,NA
PMC8827068,ClinicalTrials.gov,NCT03653689,NA
PMC8842457,ClinicalTrials.gov,NCT03528863,NA
PMC8847802,ClinicalTrials.gov,NCT04126252,NA
PMC8857363,ClinicalTrials.gov,NCT02006615,NA
PMC8882940,ClinicalTrials.gov,NCT03323151,NA
PMC8882940,ClinicalTrials.gov,NCT04047797,NA
PMC8882940,ClinicalTrials.gov,NCT02632396,NA
PMC8882940,ClinicalTrials.gov,NCT02339922,NA
PMC8882940,ClinicalTrials.gov,NCT03616782,NA
PMC8882940,ClinicalTrials.gov,NCT03206970,NA
PMC8882940,ClinicalTrials.gov,NCT02343120,NA
PMC8882940,ClinicalTrials.gov,NCT03161483,NA
PMC8882940,ClinicalTrials.gov,NCT04434196,NA
PMC8882940,ClinicalTrials.gov,NCT03235544,NA
PMC8882940,ClinicalTrials.gov,NCT03456726,NA
PMC8882940,ClinicalTrials.gov,NCT04234061,NA
PMC8882940,ClinicalTrials.gov,NCT03676504,NA
PMC8882940,ClinicalTrials.gov,NCT04323657,NA
PMC8882940,ClinicalTrials.gov,NCT03625037,NA
PMC8882940,ClinicalTrials.gov,NCT02736617,NA
PMC8882940,ClinicalTrials.gov,NCT03229382,NA
PMC8882940,ClinicalTrials.gov,NCT02793583,NA
PMC8882940,ClinicalTrials.gov,NCT03478514,NA
PMC8882940,ClinicalTrials.gov,NCT03740529,NA
PMC8882940,ClinicalTrials.gov,NCT05076097,NA
PMC8882940,ClinicalTrials.gov,NCT03629873,NA
PMC8882940,ClinicalTrials.gov,NCT02420795,NA
PMC8882940,ClinicalTrials.gov,NCT04398953,NA
PMC8882940,ClinicalTrials.gov,NCT04282018,NA
PMC8882940,ClinicalTrials.gov,NCT02952508,NA
PMC8882940,ClinicalTrials.gov,NCT03037645,NA
PMC8882940,ClinicalTrials.gov,NCT03997968,NA
PMC8882940,ClinicalTrials.gov,NCT03153202,NA
PMC8882940,ClinicalTrials.gov,NCT04763083,NA
PMC8882940,ClinicalTrials.gov,NCT02825836,NA
PMC8882940,ClinicalTrials.gov,NCT04082936,NA
PMC8882940,ClinicalTrials.gov,NCT04072458,NA
PMC8902179,ClinicalTrials.gov,NCT03406845,NA
PMC8922213,ClinicalTrials.gov,NCT04510012,NA
PMC8983315,ClinicalTrials.gov,NCT04798235,NA
PMC8983315,ClinicalTrials.gov,NCT04669535,NA
PMC8991527,ClinicalTrials.gov,NCT04636463,NA
PMC8802728,CTRI,CTRI/2017/03/008022,NA
PMC8948332,CTRI,CTRI/2019/01/016982,NA
PMC8006617,DRKS,DRKS00011615,NA
PMC8006725,DRKS,DRKS00015615,NA
PMC8259428,DRKS,DRKS00016605,NA
PMC8322787,DRKS,DRKS00020533,NA
PMC8867313,DRKS,DRKS00013231,NA
PMC8027567,EudraCT,201802020016,NA
PMC8045915,EudraCT,201704020214,NA
PMC8053869,EudraCT,201803040003,NA
PMC8153979,EudraCT,201603250060,NA
PMC8299156,EudraCT,201906635011,NA
PMC8359274,EudraCT,201507720006,NA
PMC8435827,EudraCT,201908350095,NA
PMC8577151,EudraCT,201903007834,NA
PMC8590077,EudraCT,201904010464,NA
PMC8610312,EudraCT,201803020002,NA
PMC8749962,EudraCT,201406890016,NA
PMC8814304,EudraCT,200800723747,NA
PMC8851657,EudraCT,202102310548,NA
PMC8935403,EudraCT,202102020147,NA
PMC8236676,IRCT,IRCT20190222042803N1,NA
PMC8305757,IRCT,IRCT20100512003915N20,NA
PMC8506249,IRCT,IRCT20130329012869N2,NA
PMC8647262,IRCT,IRCT20200127046275N1,NA
PMC8771815,IRCT,IRCT20151107024909N10,NA
PMC8350004,ISRCTN,ISRCTN14848787,NA
PMC8475051,ISRCTN,ISRCTN10623443,NA
PMC8814304,ISRCTN,ISRCTN18978802,NA
PMC8500489,jRCT,jRCTs031200106,NA
PMC8367657,NTR,NL63,NA
PMC8373830,NTR,NL11,NA
PMC8390327,NTR,NL78,NA
PMC8390327,NTR,NL111,NA
PMC8390327,NTR,NL133,NA
PMC8390327,NTR,NL147,NA
PMC8478793,NTR,NL557,NA
PMC8478793,NTR,NL010,NA
PMC8478793,NTR,NL577,NA
PMC8504229,NTR,nL194,NA
PMC8713010,NTR,NL6435,NA
PMC8287600,PACTR,PACTR201804003064160,NA
PMC8006606,UMIN-CTR,UMIN:000000562,NA
PMC8122242,UMIN-CTR,UMIN000012045,NA
PMC8218596,UMIN-CTR,UMIN000040708,NA
PMC8221703,UMIN-CTR,UMIN000004490,NA
PMC8265923,UMIN-CTR,UMIN000029132,NA
PMC8381433,UMIN-CTR,UMIN000036097,NA
PMC8423660,UMIN-CTR,UMIN000004575,NA
