doi,type,identifier,clinicaltrials.gov,title,phase,overall_status,primary_completion,first_posted
PMC8096327,NCT,NCT03022825,TRUE,QUILT-3.032: A Multicenter Clinical Trial of Intravesical Bacillus Calmette-Guerin (BCG) in Combination With ALT-803 (N-803) in Patients With BCG Unresponsive High Grade Non-Muscle Invasive Bladder Cancer,Phase 2Phase 3,Recruiting,January 2023,"January 18, 2017"
PMC8120369,NCT,NCT03128528,TRUE,Analysing the Effect of Empagliflozin on Reduction of Tissue Sodium Content in Patients With Chronic Heart Failure,Phase 2,Completed,"January 31, 2020","April 25, 2017"
PMC8120369,NCT,NCT03128528,TRUE,Analysing the Effect of Empagliflozin on Reduction of Tissue Sodium Content in Patients With Chronic Heart Failure,Phase 2,Completed,"January 31, 2020","April 25, 2017"
PMC8176840,NCT,NCT02274428,TRUE,Phase 1 Clinical Trial of PNEUMOSTEM® Treatment in Premature Infants With Intraventricular Hemorrhage,Phase 1,Completed,February 2016,"October 24, 2014"
PMC8180376,NCT,NCT02825394,TRUE,Specific PoC Testing of Coagulation in Patients Treated With DOAC 1,,Recruiting,March 2021,"July 7, 2016"
PMC8191476,NCT,NCT02969356,TRUE,Study to Evaluate Effects of DYSPORT® Injected in Lower and Upper Limb Combined With Guided Self-Rehabilitation Contract (GSC),Phase 4,Completed,"April 26, 2018","November 21, 2016"
PMC8195962,NCT,NCT03988088,TRUE,A Study of Lasmiditan (LY573144) in Children Aged 6 to 17 With Migraine,Phase 1,Completed,"January 19, 2020","June 17, 2019"
PMC8195962,NCT,NCT03252015,TRUE,A Study of Multiple Doses of Lasmiditan in Healthy Participants,Phase 1,Completed,"January 2, 2018","August 16, 2017"
PMC8195962,NCT,NCT00883051,TRUE,Dose-ranging Study of Oral COL-144 in Acute Migraine Treatment,Phase 2,Completed,February 2010,"April 17, 2009"
PMC8195962,NCT,NCT03465436,TRUE,A Study of Lasmiditan on the Heart in Healthy Participants,Phase 1,Completed,"December 20, 2011","March 14, 2018"
PMC8200343,NCT,NCT02780167,TRUE,Study To Evaluate Pf-04965842 In Subjects With Moderate To Severe Atopic Dermatitis,Phase 2,Completed,March 2017,"May 23, 2016"
PMC8200343,NCT,NCT03349060,TRUE,Study to Evaluate Efficacy and Safety of PF-04965842 in Subjects Aged 12 Years And Older With Moderate to Severe Atopic Dermatitis,Phase 3,Completed,"March 26, 2019","November 21, 2017"
PMC8200343,NCT,NCT03349060,TRUE,Study to Evaluate Efficacy and Safety of PF-04965842 in Subjects Aged 12 Years And Older With Moderate to Severe Atopic Dermatitis,Phase 3,Completed,"March 26, 2019","November 21, 2017"
PMC8200343,NCT,NCT03575871,TRUE,Study Evaluating Efficacy and Safety of PF-04965842 in Subjects Aged 12 Years And Older With Moderate to Severe Atopic Dermatitis,Phase 3,Completed,"August 13, 2019","July 3, 2018"
PMC8200343,NCT,NCT03575871,TRUE,Study Evaluating Efficacy and Safety of PF-04965842 in Subjects Aged 12 Years And Older With Moderate to Severe Atopic Dermatitis,Phase 3,Completed,"August 13, 2019","July 3, 2018"
PMC8238023,NCT,NCT03495388,TRUE,PG and PK of Oxycodone to Personalize Post-op Pain Management Following Surgery in Children,,Recruiting,August 2022,"April 12, 2018"
PMC8246616,NCT,NCT03192410,TRUE,"Prospective Cohort Study of 4,837 Post-myocardial Infarction Patients (Alpha Omega Cohort)",,"Active, not recruiting",January 2040,"June 20, 2017"
PMC8256836,NCT,NCT01597622,TRUE,"BEL114333, a Continuation Study of BEL113750 in Subjects With Systemic Lupus Erythematosus (SLE) in Northeast Asia, and in Japan Subjects Completing the Open-label Extension of HGS1006-C1115",Phase 3,Completed,"September 13, 2018","May 14, 2012"
PMC8256836,NCT,NCT01345253,TRUE,GSK1550188 A 52 Week Study of Belimumab Versus Placebo in the Treatment of Subjects With Systemic Lupus Erythematosus (SLE) Located in Northeast Asia,Phase 3,Completed,"September 15, 2015","May 2, 2011"
PMC8256836,NCT,NCT01484496,TRUE,A Study of Belimumab Administered Subcutaneously in Subjects With Systemic Lupus Erythematosus (SLE),Phase 3,Completed,"February 13, 2015","December 2, 2011"
PMC8265363,NCT,NCT01740427,TRUE,A Study of Palbociclib (PD-0332991) + Letrozole vs. Letrozole For 1st Line Treatment Of Postmenopausal Women With ER+/HER2- Advanced Breast Cancer (PALOMA-2),Phase 3,"Active, not recruiting","February 26, 2016","December 4, 2012"
PMC8265363,NCT,NCT01942135,TRUE,Palbociclib (PD-0332991) Combined With Fulvestrant In Hormone Receptor+ HER2-Negative Metastatic Breast Cancer After Endocrine Failure (PALOMA-3),Phase 3,"Active, not recruiting","December 5, 2014","September 13, 2013"
PMC8273841,NCT,NCT01363544,TRUE,Train Your Brain and Exercise Your Heart? Advancing the Treatment for Attention Deficit Hyperactivity Disorder (ADHD),Phase 2Phase 3,Completed,January 2015,"June 1, 2011"
PMC8280951,NCT,NCT01833104,TRUE,Plasticity of the Compassionate Brain,Not Applicable,Completed,February 2016,"April 16, 2013"
PMC8322787,NCT,NCT04678258,TRUE,Zero Fluoroscopy Voltage Guided vs. Linear CTI Ablation,Not Applicable,Recruiting,December 2023,"December 21, 2020"
PMC8323132,NCT,NCT04381234,TRUE,Strategies for Asymmetrical Triacetate Dialyzer Heparin-Free Effective Hemodialysis,Phase 2,Completed,"March 10, 2019","May 8, 2020"
PMC8323864,NCT,NCT03616834,TRUE,Tomivosertib (eFT-508) in Combination With PD-1/PD-L1 Inhibitor Therapy,Phase 2,Unknown status,January 2021,"August 6, 2018"
PMC8323864,NCT,NCT04622007,TRUE,Tomivosertib Combined With Pembrolizumab in Subjects With PD-L1 Positive NSCLC (KICKSTART),Phase 2,Recruiting,"March 15, 2024","November 9, 2020"
PMC8353912,NCT,NCT03769506,TRUE,ASP-1929 Photoimmunotherapy (PIT) Study in Recurrent Head/Neck Cancer for Patients Who Have Failed at Least Two Lines of Therapy,Phase 3,Recruiting,"September 30, 2024","December 7, 2018"
PMC8359283,NCT,NCT03442777,TRUE,Silicone Adhesive Multilayer Foam Dressings to Prevent Pressure Ulcer,Not Applicable,Completed,"December 31, 2018","February 22, 2018"
PMC8359427,NCT,NCT04269629,TRUE,The Effect of Antihypertensive Drugs on Severity of Anaphylaxis and Side-effects During Venom Immunotherapy,,Completed,January 2018,"February 17, 2020"
PMC8361986,NCT,NCT01041989,TRUE,Finnish Geriatric Intervention Study to Prevent Cognitive Impairment and Disability,Not Applicable,Unknown status,December 2013,"January 5, 2010"
PMC8374743,NCT,NCT03349060,TRUE,Study to Evaluate Efficacy and Safety of PF-04965842 in Subjects Aged 12 Years And Older With Moderate to Severe Atopic Dermatitis,Phase 3,Completed,"March 26, 2019","November 21, 2017"
PMC8374743,NCT,NCT03349060,TRUE,Study to Evaluate Efficacy and Safety of PF-04965842 in Subjects Aged 12 Years And Older With Moderate to Severe Atopic Dermatitis,Phase 3,Completed,"March 26, 2019","November 21, 2017"
PMC8374743,NCT,NCT03575871,TRUE,Study Evaluating Efficacy and Safety of PF-04965842 in Subjects Aged 12 Years And Older With Moderate to Severe Atopic Dermatitis,Phase 3,Completed,"August 13, 2019","July 3, 2018"
PMC8374743,NCT,NCT03575871,TRUE,Study Evaluating Efficacy and Safety of PF-04965842 in Subjects Aged 12 Years And Older With Moderate to Severe Atopic Dermatitis,Phase 3,Completed,"August 13, 2019","July 3, 2018"
PMC8374743,NCT,NCT03796676,TRUE,JAK1 Inhibitor With Medicated Topical Therapy in Adolescents With Atopic Dermatitis,Phase 3,Completed,"April 8, 2020","January 8, 2019"
PMC8411479,NCT,NCT02747251,TRUE,Strengthening Exercises in Shoulder Impingement (SExSI) Trial,Not Applicable,Completed,"October 29, 2018","April 21, 2016"
PMC8453520,NCT,NCT02861534,TRUE,A Study of Vericiguat in Participants With Heart Failure With Reduced Ejection Fraction (HFrEF) (MK-1242-001),Phase 3,Completed,"June 18, 2019","August 10, 2016"
PMC8453748,NCT,NCT02577003,TRUE,Double-blind Ipragliflozin Add-on Study in Japanese Participants With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control on Sitagliptin (MK-0431J-843),Phase 3,Completed,"November 25, 2016","October 15, 2015"
PMC8453748,NCT,NCT02564211,TRUE,Ipragliflozin Add-on Long-term Study in Japanese Participants With Type 2 Diabetes Mellitus on Sitagliptin (MK-0431J-849),Phase 3,Completed,"March 7, 2017","September 30, 2015"
PMC8485609,NCT,NCT02168842,TRUE,Efficacy of Isradipine in Early Parkinson Disease,Phase 3,Completed,November 2018,"June 20, 2014"
PMC8487208,NCT,NCT02562755,TRUE,Hepatocellular Carcinoma Study Comparing Vaccinia Virus Based Immunotherapy Plus Sorafenib vs Sorafenib Alone,Phase 3,Completed,July 2020,"September 29, 2015"
PMC8489938,NCT,NCT03671265,TRUE,Combination of Chemotherapy Plus RT and SHR-1210 to Treat Patients With ESCC,Not Applicable,Unknown status,"September 1, 2019","September 14, 2018"
PMC8489938,NCT,NCT04426955,TRUE,Study of Camrelizumab (SHR-1210) in Combination With Concurrent Chemoradiotherapy in Locally Advanced Esophageal Cancer,Phase 3,"Active, not recruiting",December 2022,"June 11, 2020"
PMC8494515,NCT,NCT02750085,TRUE,Evaluation of a Simple Pharmacokinetic Tool (myPKFiT™) to Guide Personalized Factor VIII Dosing in Patients With Hemophilia,,Unknown status,January 2019,"April 25, 2016"
PMC8496413,NCT,NCT04420962,TRUE,Automated Quantitative Ulcer Analysis Study,,Recruiting,July 2024,"June 9, 2020"
PMC8516509,NCT,NCT02706873,TRUE,A Study to Compare Upadacitinib (ABT-494) Monotherapy to Methotrexate (MTX) Monotherapy in Adults With Rheumatoid Arthritis (RA) Who Have Not Previously Taken Methotrexate,Phase 3,"Active, not recruiting","March 15, 2018","March 11, 2016"
PMC8516509,NCT,NCT02706951,TRUE,A Study Comparing Upadacitinib (ABT-494) Monotherapy to Methotrexate (MTX) Monotherapy in Adults With Rheumatoid Arthritis (RA) Who Have an Inadequate Response to MTX (SELECT-MONOTHERAPY),Phase 3,Completed,"October 2, 2017","March 11, 2016"
PMC8524287,NCT,NCT02788773,TRUE,Durvalumab With or Without Tremelimumab in Metastatic Castration Resistant Prostate Cancer,Phase 2,"Active, not recruiting","November 22, 2021","June 2, 2016"
PMC8524287,NCT,NCT02601014,TRUE,Biomarker-Driven Therapy With Nivolumab and Ipilimumab in Treating Patients With Metastatic Hormone-Resistant Prostate Cancer Expressing AR-V7,Phase 2,Completed,"December 3, 2020","November 10, 2015"
PMC8524287,NCT,NCT02985957,TRUE,"A Study of Nivolumab Plus Ipilimumab, Ipilimumab Alone, or Cabazitaxel in Men With Metastatic Castration-Resistant Prostate Cancer (CheckMate 650)",Phase 2,"Active, not recruiting","April 5, 2022","December 7, 2016"
PMC8532585,NCT,NCT02921139,TRUE,Comparing Re-TACE Versus SABR for Post-prior-TACE Incompletely Regressed HCC: a Randomized Controlled Trial (TASABR),Not Applicable,Recruiting,November 2022,"October 3, 2016"
PMC8552567,NCT,NCT01830959,TRUE,Use of Roflumilast to Prevent Exacerbations in Fibrotic Sarcoidosis Patients (REFS),Phase 4,Unknown status,May 2016,"April 12, 2013"
PMC8560147,NCT,NCT01859988,TRUE,Study of Dupilumab Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis,Phase 2,Completed,May 2014,"May 22, 2013"
PMC8560147,NCT,NCT02277743,TRUE,Study of Dupilumab Monotherapy Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis,Phase 3,Completed,November 2015,"October 29, 2014"
PMC8560147,NCT,NCT02277769,TRUE,Study of Dupilumab (REGN668/SAR231893) Monotherapy Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis,Phase 3,Completed,"October 31, 2015","October 29, 2014"
PMC8560147,NCT,NCT02260986,TRUE,Study to Assess the Efficacy and Long-term Safety of Dupilumab (REGN668/SAR231893) in Adult Participants With Moderate-to-Severe Atopic Dermatitis,Phase 3,Completed,August 2015,"October 9, 2014"
PMC8560147,NCT,NCT02755649,TRUE,A Study to Assess the Efficacy and Safety of Dupilumab in Participants With Severe Atopic Dermatitis (AD) That Are Not Controlled With Oral Cyclosporine A (CSA) or for Those Who Cannot Take Oral CSA Because it is Not Medically Advisable,Phase 3,Completed,"January 4, 2017","April 29, 2016"
PMC8561126,NCT,NCT04541082,TRUE,Phase I Study of Oral ONC206 in Recurrent and Rare Primary Central Nervous System Neoplasms,Phase 1,Recruiting,September 2024,"September 9, 2020"
PMC8561126,NCT,NCT03173950,TRUE,Immune Checkpoint Inhibitor Nivolumab in People With Recurrent Select Rare CNS Cancers,Phase 2,Recruiting,"May 22, 2023","June 2, 2017"
PMC8561126,NCT,NCT00826241,TRUE,Dose-Dense Temozolomide + Lapatinib for Recurrent Ependymoma,Phase 2,Completed,"July 31, 2018","January 22, 2009"
PMC8561126,NCT,NCT03251989,TRUE,Rare CNS Tumors Outcomes &Risk,,Suspended,"February 1, 2025","August 16, 2017"
PMC8561126,NCT,NCT02851706,TRUE,Natural History of and Specimen Banking for People With Tumors of the Central Nervous System,,Recruiting,"June 6, 2066","August 2, 2016"
PMC8605955,NCT,NCT04002700,TRUE,A Study to Assess Stroke Risk Among Users of Typical Versus Atypical Antipsychotics Stratified by Broad Age Group,,Completed,"May 31, 2019","July 1, 2019"
PMC8608774,NCT,NCT01417598,TRUE,BETA Study: Improving Balance Function in Elderly by Progressive and Specific Training and Physical Activity,Not Applicable,Unknown status,June 2016,"August 16, 2011"
PMC8612137,NCT,NCT02593201,TRUE,The Efficacy of Prolonged Antibiotic Therapy for the Prevention of Relapsing Peritonitis in Peritoneal Dialysis Patients With High Dialysis Effluent Bacterial DNA Fragment Levels,Phase 4,Completed,"December 31, 2018","November 1, 2015"
PMC8648634,NCT,NCT02303002,TRUE,Efficacy and Safety of Botulinum Toxin Type A for Injection to Treat Glabellar Lines,Phase 2,Completed,December 2015,"November 27, 2014"
PMC8648634,NCT,NCT03014622,TRUE,Efficacy and Safety of DaxibotulinumtoxinA for Injection to Treat Moderate to Severe Glabellar Lines,Phase 3,Completed,"November 14, 2017","January 9, 2017"
PMC8648634,NCT,NCT03014635,TRUE,Efficacy and Safety of DaxibotulinumtoxinA for Injection to Treat Moderate to Severe Glabellar Lines,Phase 3,Completed,"November 3, 2017","January 9, 2017"
PMC8648634,NCT,NCT03004248,TRUE,Safety of Single and Repeat Treatments of DaxibotulinumtoxinA for Injection for Treatment of Moderate to Severe Glabellar Lines,Phase 3,Completed,"October 17, 2018","December 28, 2016"
PMC8662959,NCT,NCT04510207,TRUE,"A Study to Evaluate The Efficacy, Safety and Immunogenicity of Inactivated SARS-CoV-2 Vaccines (Vero Cell) in Healthy Population Aged 18 Years Old and Above",Phase 3,Recruiting,"June 16, 2021","August 12, 2020"
PMC8710120,NCT,NCT01643187,TRUE,Comparison of the Effect of Two Treatments on the Nutritional and Micronutrient Status of Malnourished Children,Phase 2,Unknown status,December 2013,"July 18, 2012"
PMC8712907,NCT,NCT03128528,TRUE,Analysing the Effect of Empagliflozin on Reduction of Tissue Sodium Content in Patients With Chronic Heart Failure,Phase 2,Completed,"January 31, 2020","April 25, 2017"
PMC8712907,NCT,NCT03128528,TRUE,Analysing the Effect of Empagliflozin on Reduction of Tissue Sodium Content in Patients With Chronic Heart Failure,Phase 2,Completed,"January 31, 2020","April 25, 2017"
PMC8714017,NCT,NCT03286374,TRUE,Do Change in Life Style Improve Work Ability?,Not Applicable,Completed,"August 31, 2019","September 18, 2017"
PMC8719348,NCT,NCT03494699,TRUE,App-based Cognitive Training at Home,Not Applicable,Unknown status,"October 1, 2019","April 11, 2018"
PMC8745481,NCT,NCT2927821,FALSE,NA,NA,NA,NA,NA
PMC8753994,NCT,NCT03328299,TRUE,Pharmacokinetics and Dynamics of Dexmedetomidine as Adjuvant in TAP Block,Phase 2Phase 3,Completed,"December 1, 2018","November 1, 2017"
PMC8754096,NCT,NCT02578940,TRUE,Fluciclovine (18F) PET/CT in biochemicAL reCurrence Of Prostate caNcer,Phase 3,Completed,"May 17, 2017","October 19, 2015"
PMC8760989,NCT,NCT03093220,TRUE,Molecular Typing of Community-acquired Pneumonia Based on Multiple-omic Data Analysis,,Unknown status,"March 31, 2018","March 28, 2017"
PMC8762141,NCT,NCT02506933,TRUE,Multi-antigen CMV-MVA Triplex Vaccine in Reducing CMV Complications in Patients Previously Infected With CMV and Undergoing Donor Hematopoietic Cell Transplant,Phase 2,"Active, not recruiting","December 14, 2022","July 23, 2015"
PMC8762141,NCT,NCT02146924,TRUE,Cellular Immunotherapy in Treating Patients With High-Risk Acute Lymphoblastic Leukemia,Phase 1,"Active, not recruiting","September 30, 2022","May 26, 2014"
PMC8762141,NCT,NCT02153580,TRUE,"Cellular Immunotherapy Following Chemotherapy in Treating Patients With Recurrent Non-Hodgkin Lymphomas, Chronic Lymphocytic Leukemia, or B-Cell Prolymphocytic Leukemia",Phase 1,"Active, not recruiting","June 30, 2023","June 3, 2014"
PMC8762141,NCT,NCT01953900,TRUE,iC9-GD2-CAR-VZV-CTLs/Refractory or Metastatic GD2-positive Sarcoma and Neuroblastoma,Phase 1,"Active, not recruiting","October 31, 2019","October 1, 2013"
PMC8772438,NCT,NCT04198701,TRUE,Pulsed Field Ablation to Irreversibly Electroporate Tissue and Treat AF,Not Applicable,"Active, not recruiting",December 2022,"December 13, 2019"
PMC8798459,NCT,NCT0002523,FALSE,NA,NA,NA,NA,NA
PMC8814304,NCT,NCT02832193,TRUE,"Retrospective Evaluation of POCD Data of Studies From KAI, Charité - Universitätsmedizin Berlin",,Recruiting,November 2022,"July 14, 2016"
PMC8827068,NCT,NCT03653689,TRUE,Identification of IBS Metabotypes Based on Physiological Responses to Food,Not Applicable,Completed,"June 14, 2019","August 31, 2018"
PMC8842457,NCT,NCT03528863,TRUE,Web-based Mindfulness Meditation in Reducing Distress in Participants With Metastatic Gastrointestinal Cancer and Their Caregivers,Not Applicable,Completed,"October 31, 2019","May 18, 2018"
PMC8847802,NCT,NCT04126252,TRUE,Pharmacotherapy and Psychotherapy in the Treatment of Erectile Dysfunction,Not Applicable,Completed,"September 3, 2019","October 15, 2019"
PMC8857363,NCT,NCT02006615,TRUE,The Role of Primary Motor Cortex and Prefrontal Cortex for Facilitation of Motor System and Working Memory,Not Applicable,Recruiting,"July 11, 2021","December 10, 2013"
PMC8882940,NCT,NCT03323151,TRUE,A Study of Ixazomib and Ibrutinib in Relapsed/Refractory Mantle Cell Lymphoma,Phase 1Phase 2,"Active, not recruiting",December 2022,"October 26, 2017"
PMC8882940,NCT,NCT04047797,TRUE,Ixazomib and Rituximab in Treating Patients With Relapsed or Refractory Mantle Cell Lymphoma,Phase 2,Recruiting,"June 1, 2022","August 7, 2019"
PMC8882940,NCT,NCT02632396,TRUE,Ixazomib & Rituximab After Stem Cell Transplant in Treating Patients With Mantle Cell Lymphoma in Remission,Phase 1Phase 2,"Active, not recruiting","August 26, 2022","December 16, 2015"
PMC8882940,NCT,NCT02339922,TRUE,Ixazomib Citrate and Rituximab in Treating Patients With Indolent B-cell Non-Hodgkin Lymphoma,Phase 2,"Active, not recruiting","January 6, 2025","January 16, 2015"
PMC8882940,NCT,NCT03616782,TRUE,Ixazomib Maintenance in Patients With Newly Diagnosed Mantle Cell Lymphoma(MCL),Phase 2,Recruiting,"December 31, 2022","August 6, 2018"
PMC8882940,NCT,NCT03206970,TRUE,Study to Evaluate Efficacy and Safety of BGB-3111 in Participants With Relapsed or Refractory Mantle Cell Lymphoma (MCL),Phase 2,Completed,"February 15, 2019","July 2, 2017"
PMC8882940,NCT,NCT02343120,TRUE,Study of the Safety and Pharmacokinetics of BGB-3111 in Subjects With B-Cell Lymphoid Malignancies,Phase 1Phase 2,Completed,"March 31, 2021","January 21, 2015"
PMC8882940,NCT,NCT03161483,TRUE,A Study to Evaluate the Efficacy and Safety of CC-220 in Subjects With Active Systemic Lupus Erythematosus,Phase 2,Completed,"January 21, 2020","May 19, 2017"
PMC8882940,NCT,NCT04434196,TRUE,A Safety and Preliminary Efficacy Study of CC-99282 in Combination With Obinutuzumab in Subjects With Relapsed or Refractory Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Phase 1,Recruiting,"November 15, 2024","June 16, 2020"
PMC8882940,NCT,NCT03235544,TRUE,A Study of INCB050465 in Relapsed or Refractory Mantle Cell Lymphoma Previously Treated With or Without a Bruton's Tyrosine Kinase (BTK) Inhibitor,Phase 2,"Active, not recruiting","March 3, 2021","August 1, 2017"
PMC8882940,NCT,NCT03456726,TRUE,Study of Tazemetostat in Participants With Relapsed or Refractory B-cell Non-Hodgkin's Lymphoma With EZH2 Gene Mutation,Phase 2,Completed,"December 17, 2021","March 7, 2018"
PMC8882940,NCT,NCT04234061,TRUE,Clinical Trial to Assess The Efficacy and Safety of the Combination of Tisagenlecleucel And Ibrutinib in Mantle Cell Lymphoma,Phase 2,"Active, not recruiting","September 1, 2027","January 21, 2020"
PMC8882940,NCT,NCT03676504,TRUE,Treatment of Patients With Relapsed or Refractory CD19+ Lymphoid Disease With T Cells Expressing a Third-generation CAR,Phase 1Phase 2,Recruiting,"April 1, 2023","September 18, 2018"
PMC8882940,NCT,NCT04323657,TRUE,TC-110 T Cells in Adults With Relapsed or Refractory Non-Hodgkin Lymphoma or Acute Lymphoblastic Leukemia,Phase 1Phase 2,Recruiting,April 2022,"March 26, 2020"
PMC8882940,NCT,NCT03625037,TRUE,"GEN3013 Trial in Patients With Relapsed, Progressive or Refractory B-Cell Lymphoma",Phase 1Phase 2,Recruiting,"October 30, 2023","August 10, 2018"
PMC8882940,NCT,NCT02736617,TRUE,Obinutuzumab in Combination With Ibrutinib in Treating Patients With Relapsed Mantle Cell Lymphoma,Phase 2,Completed,"June 2, 2021","April 13, 2016"
PMC8882940,NCT,NCT03229382,TRUE,Efficacy and Safety of Obinutuzumab Preemptive Treatment at the Time of the Molecular Relapse After First Line Immunochemotherapy With Autologous Stem Cell,Phase 2,Terminated,"January 31, 2020","July 25, 2017"
PMC8882940,NCT,NCT02793583,TRUE,Study to Assess the Efficacy and Safety of Ublituximab + Umbralisib With or Without Bendamustine and Umbralisib Alone in Patients With Previously Treated Non-Hodgkins Lymphoma,Phase 2Phase 3,Terminated,"May 31, 2022","June 8, 2016"
PMC8882940,NCT,NCT03478514,TRUE,Phase II Palbociclib +Ibrutinib in Mantle Cell Lymphoma,Phase 2,Recruiting,June 2023,"March 27, 2018"
PMC8882940,NCT,NCT03740529,TRUE,A Study of Oral LOXO-305 in Patients With Previously Treated CLL/SLL or NHL,Phase 1Phase 2,Recruiting,July 2023,"November 14, 2018"
PMC8882940,NCT,NCT05076097,TRUE,A Study of OLR in First-line Treatment of Mantle Cell Lymphoma,Phase 2,Recruiting,"October 15, 2022","October 13, 2021"
PMC8882940,NCT,NCT03629873,TRUE,Efficacy and Safety of Chi-BEAC Combining With Auto-HSCT to Treat Aggressive Lymphoma Subjects,Phase 2,"Active, not recruiting","December 31, 2021","August 14, 2018"
PMC8882940,NCT,NCT02420795,TRUE,Akt/ERK Inhibitor ONC201 in Treating Patients With Relapsed or Refractory Non-Hodgkin's Lymphoma,Phase 1Phase 2,Terminated,"November 16, 2020","April 20, 2015"
PMC8882940,NCT,NCT04398953,TRUE,A Study of TQ-B3525 Tablet in the Treatment of Relapsed / Refractory Mantle Cell Lymphoma (MCL),Phase 2,Unknown status,September 2021,"May 22, 2020"
PMC8882940,NCT,NCT04282018,TRUE,"Study of BGB-10188 as Monotherapy, and in Combination With Zanubrutinib, and Tislelizumab",Phase 1Phase 2,Recruiting,"March 26, 2025","February 24, 2020"
PMC8882940,NCT,NCT02952508,TRUE,Study of Iopofosine I 131 (CLR 131) in Select B-Cell Malignancies (CLOVER-1) and Pivotal Expansion in Waldenstrom Macroglobulinemia,Phase 2,Recruiting,"June 30, 2023","November 2, 2016"
PMC8882940,NCT,NCT03037645,TRUE,"Safety, PK, PD, and Antitumor Activity of Vecabrutinib (SNS-062) in B Lymphoid Cancers",Phase 1Phase 2,Terminated,"August 31, 2020","January 31, 2017"
PMC8882940,NCT,NCT03997968,TRUE,A Phase 1/2 Study of CYT-0851 in B-Cell Malignancies and Advanced Solid Tumors,Phase 1Phase 2,Recruiting,February 2023,"June 25, 2019"
PMC8882940,NCT,NCT03153202,TRUE,Study to Evaluate the Safety and Preliminary Efficacy of Ibrutinib and Pembrolizumab in Patients With Chronic Lymphocytic Leukemia (CLL) or Mantle Cell Lymphoma (MCL),Phase 1Phase 2,Recruiting,December 2023,"May 15, 2017"
PMC8882940,NCT,NCT04763083,TRUE,First in Human Study of NVG-111 in Chronic Lymphocytic Leukaemia and Mantle Cell Lymphoma,Phase 1Phase 2,Recruiting,December 2023,"February 21, 2021"
PMC8882940,NCT,NCT02825836,TRUE,"Phase I/II, First in Human, Dose Escalation Trial of TL-895 in Subjects With R/R CLL/SLL and Expansion in Treatment Naïve CLL/SLL Subjects and Subjects With R/R CLL/SLL",Phase 1Phase 2,"Active, not recruiting","December 1, 2023","July 7, 2016"
PMC8882940,NCT,NCT04082936,TRUE,A Safety and Pharmacokinetic Study of IGM-2323 in Subjects With Relapsed/Refractory Non-Hodgkin Lymphoma,Phase 1Phase 2,Recruiting,September 2024,"September 10, 2019"
